Show,Specific Production,Album,BPM,Length,Song,YouTube Link,Video Title,Playlist Name
Wicked,Original Broadway,Wicked (OBCR),128,1:31,March of the Witch Hunters,https://www.youtube.com/watch?v=VD_FBWJ1pXQ,"March Of The Witch Hunters (From ""Wicked"" Original Broadway Cast Recording/2003 / Audio)",&#39;Wicked&#39; Original Broadway Cast Recording
Wicked,Original Broadway,Wicked (OBCR),70,5:06,For Good,https://www.youtube.com/watch?v=wYTeyNB1k5g,"For Good (From ""Wicked"" Original Broadway Cast Recording/2003 / Audio)",&#39;Wicked&#39; Original Broadway Cast Recording
Wicked,Original Broadway,Wicked (OBCR),80,1:41,Finale,https://www.youtube.com/watch?v=RFmNdPN_vRM,"Finale ""Wicked"" (From ""Wicked"" Original Broadway Cast Recording/2003 / Audio)",&#39;Wicked&#39; Original Broadway Cast Recording
Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),128,2:26,Anybody Have a Map?,https://www.youtube.com/watch?v=6f1-QF9jvBM,"""Anybody Have a Map?"" from the DEAR EVAN HANSEN Original Broadway Cast Recording",Original Broadway Cast Recording
Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),160,3:56,Waving Through a Window,https://www.youtube.com/watch?v=kfnMvo87fQU,"""Waving Through a Window"" from the DEAR EVAN HANSEN Original Broadway Cast Recording",Original Broadway Cast Recording
Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),80,5:01,For Forever,https://www.youtube.com/watch?v=xkdPRcY0k4o,"""For Forever"" from the DEAR EVAN HANSEN Original Broadway Cast Recording",Original Broadway Cast Recording
Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),144,3:42,"Sincerely, Me",https://www.youtube.com/watch?v=HOYAA13Bm9M,"""Sincerely, Me"" from the DEAR EVAN HANSEN Original Broadway Cast Recording",Original Broadway Cast Recording
Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),90,4:19,Requiem,https://www.youtube.com/watch?v=AN9x0v2-deU,"""Requiem"" from the DEAR EVAN HANSEN Original Broadway Cast Recording",Original Broadway Cast Recording
Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),74,4:08,If I Could Tell Her,https://www.youtube.com/watch?v=B7h7c_L_Yp4,"""If I Could Tell Her"" from the DEAR EVAN HANSEN Original Broadway Cast Recording",Original Broadway Cast Recording
Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),124,4:35,Disappear,https://www.youtube.com/watch?v=Lx9oP2YyY88,"""Disappear"" from the DEAR EVAN HANSEN Original Broadway Cast Recording",Original Broadway Cast Recording
Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),124,6:00,You Will Be Found,https://www.youtube.com/watch?v=mSfH2AuhXfw,"""You Will Be Found"" from the DEAR EVAN HANSEN Original Broadway Cast Recording",Original Broadway Cast Recording
Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),106,3:50,To Break In a Glove,https://www.youtube.com/watch?v=h8z6qYV1qjA,"""To Break in a Glove"" from the DEAR EVAN HANSEN Original Broadway Cast Recording",Original Broadway Cast Recording
Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),140,3:47,Only Us,https://www.youtube.com/watch?v=PPvO1sZkOx0,"""Only Us"" from the DEAR EVAN HANSEN Original Broadway Cast Recording",Original Broadway Cast Recording
Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),136,3:05,Good for You,https://www.youtube.com/watch?v=v5B9RWJor4c,"""Good For You"" from the DEAR EVAN HANSEN Original Broadway Cast Recording",Original Broadway Cast Recording
Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),116,5:51,Words Fail,https://www.youtube.com/watch?v=RKP9UdIcXFk,"""Words Fail"" from the DEAR EVAN HANSEN Original Broadway Cast Recording",Original Broadway Cast Recording
Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),82,4:12,So Big / So Small,https://www.youtube.com/watch?v=9vD2JBq0ns8,"""So Big / So Small"" from the DEAR EVAN HANSEN Original Broadway Cast Recording",Original Broadway Cast Recording
Dear Evan Hansen,Original Broadway,Dear Evan Hansen (OBCR),120,1:35,Finale,https://www.youtube.com/watch?v=r-nKoW1rVu8,"""Finale"" from the DEAR EVAN HANSEN Original Broadway Cast Recording",Original Broadway Cast Recording
Heathers,World Premiere Cast,Heathers (World Premiere),115,8:16,Beautiful,https://www.youtube.com/watch?v=zAmmc7VFiZY,Beautiful - Heathers: The Musical +LYRICS,Heathers: The Musical +LYRICS
Heathers,World Premiere Cast,Heathers (World Premiere),136,2:57,Candy Store,https://www.youtube.com/watch?v=BQOoTX1Nxx8,Candy Store - Heathers: The Musical +LYRICS,Heathers: The Musical +LYRICS
Heathers,World Premiere Cast,Heathers (World Premiere),112,2:33,Fight for Me,https://www.youtube.com/watch?v=DmHPhhJWNKI,Fight for Me - Heathers: The Musical +LYRICS,Heathers: The Musical +LYRICS
Heathers,World Premiere Cast,Heathers (World Premiere),124,2:48,Freeze Your Brain,https://www.youtube.com/watch?v=GAOxJv96VE8,Freeze Your Brain - Heathers: The Musical +LYRICS,Heathers: The Musical +LYRICS
Heathers,World Premiere Cast,Heathers (World Premiere),130,4:05,Big Fun,https://www.youtube.com/watch?v=2Q1p89oUQUM,Big Fun - Heathers: The Musical +LYRICS,Heathers: The Musical +LYRICS
Heathers,World Premiere Cast,Heathers (World Premiere),128,3:17,Dead Girl Walking,https://www.youtube.com/watch?v=3EyDyxGZn_Y,Dead Girl Walking - Heathers: The Musical +LYRICS,Heathers: The Musical +LYRICS
Heathers,World Premiere Cast,Heathers (World Premiere),100,2:28,The Me Inside of Me,https://www.youtube.com/watch?v=esJKM00L9Ss,Me Inside of Me - Heathers: The Musical +LYRICS,Heathers: The Musical +LYRICS
Heathers,World Premiere Cast,Heathers (World Premiere),122,2:48,Blue,https://www.youtube.com/watch?v=QzqUTJ7U3xs,Blue - Heathers: The Musical +LYRICS,Heathers: The Musical +LYRICS
Heathers,World Premiere Cast,Heathers (World Premiere),116,5:12,Our Love is God,https://www.youtube.com/watch?v=P3dGcN_mJ50,Our Love Is God - Heathers: The Musical +LYRICS,Heathers: The Musical +LYRICS
Heathers,World Premiere Cast,Heathers (World Premiere),148,3:23,My Dead Gay Son,https://www.youtube.com/watch?v=2k8DwNoAYQY,My Dead Gay Son - Heathers: The Musical +LYRICS,Heathers: The Musical +LYRICS
Heathers,World Premiere Cast,Heathers (World Premiere),78,3:12,Seventeen,https://www.youtube.com/watch?v=9h80Sr15n4M,Seventeen - Heathers: The Musical +LYRICS,Heathers: The Musical +LYRICS
Heathers,World Premiere Cast,Heathers (World Premiere),124,2:31,Shine a Light,https://www.youtube.com/watch?v=uIGvxf0IEXs,Shine A Light - Heathers: The Musical +LYRICS,Heathers: The Musical +LYRICS
Heathers,World Premiere Cast,Heathers: The Musical,55,1:39,Lifeboat,https://www.youtube.com/watch?v=cO_bnOUmX6s,Lifeboat - Heathers: The Musical +LYRICS,Heathers: The Musical +LYRICS
Heathers,World Premiere Cast,Heathers: The Musical,124,0:42,Shine a Light (Reprise),https://www.youtube.com/watch?v=_h_Zi4F1I8I,Shine A Light (Reprise) - Heathers: The Musical +LYRICS,Heathers: The Musical +LYRICS
Heathers,World Premiere Cast,Heathers: The Musical,81,3:48,Kindergarten Boyfriend,https://www.youtube.com/watch?v=P9MwGckEZd4,Kindergarten Boyfriend - Heathers: The Musical +LYRICS,Heathers: The Musical +LYRICS
Heathers,World Premiere Cast,Heathers: The Musical,120,1:46,Yo Girl,https://www.youtube.com/watch?v=YOsWPIqL22s,Yo Girl - Heathers: The Musical +LYRICS,Heathers: The Musical +LYRICS
Heathers,World Premiere Cast,Heathers: The Musical,152,3:25,Meant to Be Yours,https://www.youtube.com/watch?v=hD7x_7tUFNI,Meant to Be Yours - Heathers: The Musical +LYRICS,Heathers: The Musical +LYRICS
Heathers,World Premiere Cast,Heathers: The Musical,132,2:46,Dead Girl Walking (Reprise),https://www.youtube.com/watch?v=LIHPNqYiPSM,Dead Girl Walking (Reprise) - Heathers: The Musical +LYRICS,Heathers: The Musical +LYRICS
Heathers,World Premiere Cast,Heathers: The Musical,110,1:26,I Am Damaged,https://www.youtube.com/watch?v=nlVxhg-HVCk,I Am Damaged - Heathers: The Musical +LYRICS,Heathers: The Musical +LYRICS
Heathers,World Premiere Cast,Heathers: The Musical,115,2:44,Seventeen (Reprise),https://www.youtube.com/watch?v=zAAXjHKXhNI,Seventeen (Reprise) - Heathers: The Musical +LYRICS,Heathers: The Musical +LYRICS
Hadestown,Original Broadway,Hadestown (OBCR),85,5:17,Road to Hell,https://www.youtube.com/watch?v=ZgsfT2w7FfM,Road to Hell,Hadestown Original Broadway Cast Recording (2019) - In Order
Hadestown,Original Broadway,Hadestown (OBCR),120,3:45,Any Way the Wind Blows,https://www.youtube.com/watch?v=2N3FmSVcjwA,Any Way the Wind Blows,Hadestown Original Broadway Cast Recording (2019) - In Order
Hadestown,Original Broadway,Hadestown (OBCR),114,1:47,Come Home With Me,https://www.youtube.com/watch?v=KpNEPwACYK4,Come Home with Me,Hadestown Original Broadway Cast Recording (2019) - In Order
Hadestown,Original Broadway,Hadestown (OBCR),128,3:33,Wedding Song,https://www.youtube.com/watch?v=zP47npl3rHo,Wedding Song,Hadestown Original Broadway Cast Recording (2019) - In Order
Hadestown,Original Broadway,Hadestown (OBCR),74,3:12,Epic I,https://www.youtube.com/watch?v=pN1Ws7qTGuM,Epic I,Hadestown Original Broadway Cast Recording (2019) - In Order
Hadestown,Original Broadway,Hadestown (OBCR),158,5:29,Livin' it Up on Top,https://www.youtube.com/watch?v=Qc_lZC55MI4,Livin' it Up on Top,Hadestown Original Broadway Cast Recording (2019) - In Order
Hadestown,Original Broadway,Hadestown (OBCR),82,4:03,All I've Ever Known,https://www.youtube.com/watch?v=L5A__1-QK4w,All I've Ever Known,Hadestown Original Broadway Cast Recording (2019) - In Order
Hadestown,Original Broadway,Hadestown (OBCR),130,5:00,Way Down Hadestown,https://www.youtube.com/watch?v=nJIc3RtJK7U,Way Down Hadestown,Hadestown Original Broadway Cast Recording (2019) - In Order
Hadestown,Original Broadway,Hadestown (OBCR),90,1:33,A Gathering Storm,https://www.youtube.com/watch?v=aHYhu0zBEhQ,A Gathering Storm,Hadestown Original Broadway Cast Recording (2019) - In Order
Hadestown,Original Broadway,Hadestown (OBCR),72,2:26,Epic II,https://www.youtube.com/watch?v=_VVB2WWohM0,Epic II,Hadestown Original Broadway Cast Recording (2019) - In Order
Hadestown,Original Broadway,Hadestown (OBCR),118,6:31,Chant,https://www.youtube.com/watch?v=4bheXkre0yM,Chant,Hadestown Original Broadway Cast Recording (2019) - In Order
Hadestown,Original Broadway,Hadestown (OBCR),105,3:32,"Hey, Little Songbird",https://www.youtube.com/watch?v=hRGQqFfqps0,"Hey, Little Songbird",Hadestown Original Broadway Cast Recording (2019) - In Order
Hadestown,Original Broadway,Hadestown (OBCR),124,2:14,When the Chips are Down,https://www.youtube.com/watch?v=Qu4AhyJL_U4,When the Chips are Down,Hadestown Original Broadway Cast Recording (2019) - In Order
Hadestown,Original Broadway,Hadestown (OBCR),85,1:41,"Gone, I'm Gone",https://www.youtube.com/watch?v=QhuyQfLXARs,"Gone, I'm Gone",Hadestown Original Broadway Cast Recording (2019) - In Order
Hadestown,Original Broadway,Hadestown (OBCR),67,3:34,Wait for Me,https://www.youtube.com/watch?v=9nKTH0zx_H8,Wait for Me,Hadestown Original Broadway Cast Recording (2019) - In Order
Hadestown,Original Broadway,Hadestown (OBCR),88,4:00,Why We Build the Wall,https://www.youtube.com/watch?v=Q1VDxMe54Og,Why We Build the Wall,Hadestown Original Broadway Cast Recording (2019) - In Order
Hadestown,Original Broadway,Hadestown (OBCR),120,5:24,Our Lady of the Underground,https://www.youtube.com/watch?v=vasNenR_DL0,Our Lady of the Underground,Hadestown Original Broadway Cast Recording (2019) - In Order
