url,title,description,thumbnail,tags,variations,skills,what you'll need,link to video,instructions,
https://www.instructables.com/12-Recipes-for-Homemade-Slime/,Easy Recipes for Homemade Slime  : 12 Steps (with Pictures) - Instructables,"Easy Recipes for Homemade Slime : If you love making your own slime, you've come to the right place! We have tons of DIY slime recipes here on Instructables, so I decided to pick a few of our tried-and-tested favorites to share.
In this instructable I'll show you recipes for clear s…",https://content.instructables.com/FU9/TF84/J6IEVDPH/FU9TF84J6IEVDPH.jpg?auto=webp&frame=1&width=2100,,,,,,,
https://www.instructables.com/5-Awesome-Egg-Experiments-1/,5 Awesome Egg Experiments : 5 Steps (with Pictures) - Instructables,"5 Awesome Egg Experiments: Today, I'm going to show you some experiments using the infamous egg!

",https://content.instructables.com/F08/F04Z/J5IG1K9R/F08F04ZJ5IG1K9R.jpg?auto=webp&frame=1,,,,,,,
https://www.instructables.com/How-to-Make-Galaxy-Slime/,How to Make Galaxy Slime  : 7 Steps (with Pictures) - Instructables,"How to Make Galaxy Slime : Galaxy slime is a super easy update to a regular borax-free slime recipe: just add glitter! I love this slime recipe because it's so customizable and fool-proof. 
The key to this slime is using clear school glue as the base: it will make your galaxy…",https://content.instructables.com/F8I/KQ3E/J3YPQ1NT/F8IKQ3EJ3YPQ1NT.jpg?auto=webp&frame=1,,,,,,,
https://www.instructables.com/Teaching-Cross-pollination-in-Pre-school/,Teaching Cross-pollination in Pre-school : 3 Steps (with Pictures) - Instructables,Teaching Cross-pollination in Pre-school: This morning the greenhouse keeper at my school asked me if I could help him put together a lesson teaching cross pollination of a flower in a garden to his pre kindergartens that would be visiting the greenhouse. He said he wanted to demonstrate th…,https://content.instructables.com/FX2/BI7E/J2QF0M8S/FX2BI7EJ2QF0M8S.jpg?auto=webp&frame=1&width=2100,,,,,,,
https://www.instructables.com/Solar-System-Twister/,Solar System Twister  : 14 Steps (with Pictures) - Instructables,"Solar System Twister : Here is a fun and interactive way to teach children (and adults) about the solar system!
There's even a fun twist on the traditional spinner (and a bonus keepsake!) that takes it further than just ""right hand on Pluto."" 
It's time for: Solar System …",https://content.instructables.com/FEJ/9XAY/J3KFEKY6/FEJ9XAYJ3KFEKY6.jpg?auto=webp&frame=1&width=2100,,,,,,,
https://www.instructables.com/Whats-the-Weather-Tomorrow-With-LittleBits/,What's the Weather Tomorrow?- With LittleBits : 5 Steps (with Pictures) - Instructables,"What's the Weather Tomorrow?- With LittleBits: This simple internet connected device uses the cloudbit by LittleBits to fetch the weather forecast for tomorrow. It lights up the sun or raincloud accordingly to remind you!
 What you need: 


Littlebits: USB power, USB power cable and plug, cloudb…",https://content.instructables.com/FYH/RFNF/IZ6D65EI/FYHRFNFIZ6D65EI.jpg?auto=webp&frame=1&width=2100,,,,,,,
https://www.instructables.com/Cardboard-Clock-for-Learning/,Cardboard Clock for Learning : 4 Steps (with Pictures) - Instructables,"Cardboard Clock for Learning: Hi All,This is a extremely simple project that kids can do and great tool for learning on ""how to read time""I know there are digital clocks, which is extremely easy to read.. But I am old school and wanted my son to make one... This takes about 10 t…",https://content.instructables.com/FM8/3RK4/IY4Q9KOO/FM83RK4IY4Q9KOO.jpg?auto=webp&frame=1&width=2100,,,,,,,
https://www.instructables.com/Zipline-Racers-Detailed-Instructable-Remix/,Zipline Racers - Detailed Instructable Remix : 7 Steps (with Pictures) - Instructables,"Zipline Racers - Detailed Instructable Remix: This is part of a series of Instructables intended for teachers about educating students in the classroom around making and tinkering. For more about the details of this project, check out this video on YouTube.
This is a remix of another Instructab…",https://content.instructables.com/FD2/KD8C/JBE14PSM/FD2KD8CJBE14PSM.jpg?auto=webp&frame=1&width=2100,,,,,,,
https://www.instructables.com/Teach-Preschool-to-10th-Grade-Math-With-WAFFLES/,Purposeful Snacking (Pre-K to 10th Grade Math) : 9 Steps (with Pictures) - Instructables,"Purposeful Snacking (Pre-K to 10th Grade Math): So I made waffles for my kids this morning, and suddenly it hit me: 
Waffles are the perfect tool for teaching math! 
We've often seen math taught with other household items, such as Legos. However, waffles can be used as blocks and units (like Lego…",https://content.instructables.com/FUD/VOKM/IN969D3W/FUDVOKMIN969D3W.jpg?auto=webp&frame=1,,,,,,,
https://www.instructables.com/Float-Racers/,Float Racers : 4 Steps (with Pictures) - Instructables,"Float Racers: Ready. Set. Float! 
As the racers take off for the top, you'll find this science-in-a-tube to be a not so dense lesson in buoyancy. Googly eyed, bubbled, and plunged, the racers battle each other in a column but with all sorts of different variables…",https://content.instructables.com/FCS/N0PT/IKSN3Q8M/FCSN0PTIKSN3Q8M.jpg?auto=webp&frame=1,,,,,,,
https://www.instructables.com/Magnet-Trampoline/,Magnet Trampoline : 4 Steps (with Pictures) - Instructables,"Magnet Trampoline: While sometimes a bit polarizing, magnets enjoy a good party, too. 
Whether you're feeling repulsive or like sticking together, the magnet trampoline is a very simple introductory project to teach some of the basics of forces and magnetism. Slap it …",https://content.instructables.com/FR5/MSI3/IKSN3932/FR5MSI3IKSN3932.jpg?auto=webp&frame=1,,,,,,,
https://www.instructables.com/Paper-Marbling-With-Food-Dye-and-Shaving-Cream/,Paper Marbling With Food Dye and Shaving Cream : 5 Steps (with Pictures) - Instructables,Paper Marbling With Food Dye and Shaving Cream: A quick and easy way to marble paper!,https://content.instructables.com/FBW/7OS7/IIHRID0S/FBW7OS7IIHRID0S.png?auto=webp&frame=1,,,,,,,
https://www.instructables.com/Flying-fish-3/,Flying Fish : 8 Steps (with Pictures) - Instructables,Flying Fish: would you like to make your own flying fish?,https://content.instructables.com/FR1/MEKD/IFJWOE8K/FR1MEKDIFJWOE8K.jpg?auto=webp&frame=1,,,,,,,
https://www.instructables.com/Crayon-Playdough/,Crayon Playdough : 5 Steps (with Pictures) - Instructables,"Crayon Playdough: Crayon Playdough recipe is very simple to make. You can make different colors of playdough using different shades of crayons. It gives bold color to dough. Try it out for your preschooler, they will love it for sure. ",https://content.instructables.com/FZR/IWQ6/IDQHP9K1/FZRIWQ6IDQHP9K1.jpg?auto=webp&frame=1,,,,,,,
https://www.instructables.com/No-More-Tears-Watercolor-Crayon-Resist/,No More Tears Watercolor: Crayon Resist : 7 Steps (with Pictures) - Instructables,"No More Tears Watercolor: Crayon Resist: If you've ever given a young child a set of watercolors, you know that they aren't as simple to work with as the craft aisle may have you believe. Watercolors are on just about every elementary student's school supply list, but every time they paint…",https://content.instructables.com/F8X/UHBW/IDQBS9Y9/F8XUHBWIDQBS9Y9.jpg?auto=webp&frame=1,,,,,,,
https://www.instructables.com/Bubble-Painting-for-Kids-and-Artists/,Bubble Painting for Kids and Artists : 8 Steps (with Pictures) - Instructables,"Bubble Painting for Kids and Artists: For a little fun on a warm summer day, try painting with bubbles! This technique can be a fun activity for the kids or a great design element for an artist. 
Thanks to poofrabbit for showing us how to dye with bubbles though I prefer to work with pa…",https://content.instructables.com/FR7/KRXB/ID5S86G9/FR7KRXBID5S86G9.jpg?auto=webp&frame=1,,,,,,,
https://www.instructables.com/Homemade-Fossils/,Homemade Fossils! : 5 Steps (with Pictures) - Instructables,"Homemade Fossils!: Feeling like a fossil but don't want to wait 100 million years? Now you can make them just like Mother (Earth) used to make! Don't be petrified, it's not as hard as you think. These mold and cast fossils are great for school, home, or as a prank on …",https://content.instructables.com/FYW/U24D/ICN7GA9I/FYWU24DICN7GA9I.jpg?auto=webp&frame=1,,,,,,,
https://www.instructables.com/Model-Magic-Texture-Stamps/,Model Magic Texture Stamps : 6 Steps (with Pictures) - Instructables,"Model Magic Texture Stamps: I once gave my kindergarten students a small ball of Model Magic to experiment with, and one of them pressed it up against a texture rubbing plate. This wasn't what I had in mind for the activity, but it turned out to be a wonderful way for my stude…",https://content.instructables.com/FW8/NNMP/ICD7F2JT/FW8NNMPICD7F2JT.jpg?auto=webp&frame=1,,,,,,,
https://www.instructables.com/Start-Seeds-Without-Soil/,Grow Seeds Without Soil! : 4 Steps (with Pictures) - Instructables,"Grow Seeds Without Soil!: Oh the places they'll grow! Whether you want to eat them, grow them, or throw them in a maraca, seeds are nature's suitcases of magic. From the smallest orchid seed at 1/35,000,000th of an ounce to the largest coconut seed at just under forty pounds…",https://content.instructables.com/FLG/AC6U/IC7HM8P7/FLGAC6UIC7HM8P7.jpg?auto=webp&frame=1,,,,,,,
